questionText;options;correctAnswer;explanation;categoryId
What is the capital of France?;[Berlin, Madrid, Paris, Rome];Paris;Paris has been the capital of France since 508 AD;672d0698004c7514fcd799bb
Who wrote "Hamlet"?;[Charles Dickens, Jane Austen, William Shakespeare, Mark Twain];William Shakespeare;"Hamlet" is one of Shakespeare's most famous plays;672d0698004c7514fcd799bb
What is the largest ocean on Earth?;[Atlantic Ocean, Indian Ocean, Arctic Ocean, Pacific Ocean];Pacific Ocean;The Pacific Ocean covers more area than all the landmasses combined;672d0698004c7514fcd799bb
Who painted the Mona Lisa?;[Vincent van Gogh, Pablo Picasso, Leonardo da Vinci, Claude Monet];Leonardo da Vinci;The Mona Lisa is a renowned work by the Italian Renaissance artist;672d0698004c7514fcd799bb
What is the longest river in the world?;[Amazon River, Nile River, Yangtze River, Mississippi River];Nile River;The Nile River is traditionally considered the longest river;672d0698004c7514fcd799bb
Which element has the chemical symbol "O"?;[Osmium, Oxygen, Gold, Hydrogen];Oxygen;Oxygen is essential for respiration in most living organisms;672d0698004c7514fcd799bb
In which year did the Titanic sink?;[1912, 1905, 1920, 1898];1912;The Titanic sank on its maiden voyage in April 1912;672d0698004c7514fcd799bb
What is the smallest planet in our solar system?;[Mars, Mercury, Venus, Earth];Mercury;Mercury is the smallest planet and closest to the Sun;672d0698004c7514fcd799bb
Who discovered penicillin?;[Marie Curie, Alexander Fleming, Louis Pasteur, Albert Einstein];Alexander Fleming;Fleming discovered penicillin in 1928, revolutionizing medicine;672d0698004c7514fcd799bb
What is the main ingredient in guacamole?;[Tomato, Avocado, Onion, Pepper];Avocado;Guacamole is primarily made from mashed avocados;672d0698004c7514fcd799bb
Which country is known as the Land of the Rising Sun?;[China, Japan, Thailand, South Korea];Japan;Japan is called this due to its position east of the Asian continent;672d0698004c7514fcd799be
What is the capital city of Australia?;[Sydney, Canberra, Melbourne, Brisbane];Canberra;Canberra was selected as a compromise between Sydney and Melbourne;672d0698004c7514fcd799be
Which continent is the Sahara Desert located in?;[Asia, Africa, Australia, North America];Africa;The Sahara is the largest hot desert in the world, located in North Africa;672d0698004c7514fcd799be
What river flows through Egypt?;[Amazon, Nile, Mississippi, Yangtze];Nile;The Nile is often regarded as the lifeblood of Egypt;672d0698004c7514fcd799be
Which mountain range separates Europe and Asia?;[Himalayas, Andes, Ural, Rocky Mountains];Ural;The Ural Mountains are traditionally considered the boundary between the two continents;672d0698004c7514fcd799be
What is the largest country in the world by area?;[Canada, China, Russia, United States];Russia;Russia spans over 17 million square kilometers;672d0698004c7514fcd799be
Which ocean is the largest?;[Atlantic, Indian, Arctic, Pacific];Pacific;The Pacific Ocean covers more than 63 million square miles;672d0698004c7514fcd799be
What is the capital of Canada?;[Toronto, Vancouver, Ottawa, Montreal];Ottawa;Ottawa is the political and administrative center of Canada;672d0698004c7514fcd799be
In which country is the Great Barrier Reef located?;[Australia, Brazil, Mexico, Philippines];Australia;The Great Barrier Reef is the world's largest coral reef system;672d0698004c7514fcd799be
What is the smallest country in the world?;[Monaco, Vatican City, San Marino, Nauru];Vatican City;Vatican City is an independent city-state enclaved within Rome;672d0698004c7514fcd799be
Who was the first President of the United States?;[Thomas Jefferson, Abraham Lincoln, George Washington, John Adams];George Washington;Washington served as President from 1789 to 1797;672d0698004c7514fcd799c1
What ancient civilization built the pyramids?;[Greeks, Romans, Egyptians, Mesopotamians];Egyptians;The ancient Egyptians constructed pyramids as tombs for their pharaohs;672d0698004c7514fcd799c1
What year did World War II begin?;[1939, 1941, 1945, 1936];1939;World War II began with the invasion of Poland in September 1939;672d0698004c7514fcd799c1
Who was the first woman to fly solo across the Atlantic Ocean?;[Amelia Earhart, Bessie Coleman, Harriet Quimby, Jacqueline Cochran];Amelia Earhart;Earhart completed her historic flight in 1932;672d0698004c7514fcd799c1
What was the name of the ship that sank after hitting an iceberg in 1912?;[Lusitania, Titanic, Britannic, Olympic];Titanic;The Titanic sank on its maiden voyage on April 15, 1912;672d0698004c7514fcd799c1
Who is known as the Father of Modern Physics?;[Isaac Newton, Albert Einstein, Galileo Galilei, Niels Bohr];Albert Einstein;Einstein developed the theory of relativity, changing our understanding of physics;672d0698004c7514fcd799c1
What was the main cause of the Cold War?;[Capitalism vs. Communism, World War I, The Great Depression, Imperialism];Capitalism vs. Communism;The Cold War was characterized by ideological conflict between the U.S. and the Soviet Union;672d0698004c7514fcd799c1
In what year did the Berlin Wall fall?;[1989, 1991, 1987, 1990];1989;The fall of the Berlin Wall symbolized the end of the Cold War;672d0698004c7514fcd799c1
Who was the last Tsar of Russia?;[Nicholas II, Alexander III, Peter the Great, Catherine the Great];Nicholas II;Nicholas II was executed during the Russian Revolution in 1918;672d0698004c7514fcd799c1
What year did the United States declare independence?;[1776, 1783, 1791, 1765];1776;The Declaration of Independence was adopted on July 4, 1776;672d0698004c7514fcd799c1
